name,rating,comment
GRANVILLE,5,I've been wanting to come to Granville for a while and will definitely be back! The best service-Shout out to the greatest server Ridg! He was super...
GRANVILLE,4,Decent prices for the food. There was not long of a waiting time. Parking is a little bit of a pain
GRANVILLE,5,"TLDR: Come to this place for the greatest vibes and the best people. 

I've only ever had take-out or sat at the bar. Never dined in at a table. But here is..."
HanEuem,5,OmG.  Unbelievable food.  I'm in love with this place.  I can eat here everyday.  Service is great and food is great.  Beyond 5-Stars.
HanEuem,5,"Wow! A+

Took my mom to her appointment nearby and we had a couple of hours to kill so we dropped in. 

Glad we did.

Ordered the LA Galbi and Bulgogi..."
HanEuem,5,"I've looked up HanEuem numerous times on Yelp, but never had a chance to visit.

Since then, we've been there 2 times and we plan on going again to try..."
Gunsmoke,5,Overall 10/10 dining!! The food and service was amazing. Highly recommend the potatoes and the cabbage.
Gunsmoke,5,"A LITTLE HIDDEN GEM TUCKED AWAY IN HOLLYWOOD

PROS----

MENU: The menu is small but has great options that are curated with Filipino influences. Takes the..."
Gunsmoke,4,"Nice intimate date place to try out small plates. My favorite dish was an off menu item, the scallops with a citrus sauce was so good and we received it..."
The Highlight Room Grill,5,Came here on a rainy Los Angeles brunch afternoon with a reservation for three. This place was not built for rain but the staff members all made sure to...
The Highlight Room Grill,5,"The Highlight Room Grill is a hidden gem in the middle of Hollywood, offering a fresh California-inspired cuisine and set to the backdrop of the Hollywood..."
The Highlight Room Grill,4,"My experience was pretty good. The only thing that I think is unreasonable is there 2 hour time limit per reservation. On a positive note, the host that..."
Beauty & Essex,5,Never in my life have I been able to celebrate Valentine's Day with a significant other (GAY FLAG EMOJIS EVERYWHERE) so to be able to do that for the first...
Beauty & Essex,5,"Not only is this place stylish, the food and service is actually great. We ordered two of the Mac and cheese because it was so good. The potatas have an..."
Beauty & Essex,4,Overall - fine. Swaggy atmosphere and solid menu. I've been to the NY location and it's clearly a duplicate if you know what I mean. The bill was $100 pp...
Toca Madera - Los Angeles,5,"I had the pleasure of dining at Toca Madera recently and it was a truly unforgettable experience. The atmosphere was amazing - warm, energetic, & inviting..."
Toca Madera - Los Angeles,5,"Love this place! 

Had the most amazing experience celebrating a friends birthday here last Saturday. From the friendly staff to the good food and drinks,..."
Toca Madera - Los Angeles,3,"Food 3/10
Ambiance: 8/10
I associate LA with style over substance, this place does nothing to disprove that narrative."
Mother Tongue,5,"Gorgeous restaurant. Delicious food. Great service.

My date and I had a great time. We ordered the steak tartare which we loved. A mushroom app- probably..."
Mother Tongue,5,"Amazing.

I thought this place was mostly hype from Instagram, but it really lives up to all of the reviews. The food was fantastic - they have tons of..."
Mother Tongue,4,"Ambiance 10/10- absolutely gorgeous
Food 8/10- Nothing wrong with it, just wasn't my cup of tea
Service 10/10- VERY attentive and friendly"
Osteria Mamma,4,"4+ family owned Italian restaurant in the mid Wilshire area. They make delicious homemade pastas here. 

A couple of my friends and I went here the other..."
Osteria Mamma,3,"TLDR
Okay overall. Some dishes were good and some were okay. There is so much to try in LA and this place did not stand out at all. Will not be..."
Osteria Mamma,2,I went with a group to celebrate a friend's birthday. Our party organizer called ahead of time to see if the restaurant could accommodate my vegan diet....
Met Her At A Bar,5,Excellent service! I went with my boyfriend for our anniversary. And the breakfast was amazing! It's a cute restaurant and the seating outside makes you...
Met Her At A Bar,5,"Thank you to Maria, General Manager! We did a catering order today for our advertising business and everyone was very pleased. The waffles looked/tasted..."
Met Her At A Bar,5,"This place serves great food with good service. Recommended.

Located in the hip and trendy mid-town La Brea area. :)"
TOKKI - Korean Tapas,5,"Food is super delicious especially the intestine rice bowl. I will love to eat more of it. I just couldn't get enough of that!

Parking can be horrible...."
TOKKI - Korean Tapas,5,"one of the best restaurants i've been to in LA!!
here is everything we ordered:

uni toast ($41) -
5/5 pricey but was worth it due to no fishy taste and was..."
TOKKI - Korean Tapas,5,"this place is such a gem. it's a popular date spot & it's a great one. i have endless good things to say about this restaurant 

the interior was dim but it..."
Sun Nong Dan,5,"2nd time coming here in one week because their kalbi jjim is that good. We ordered the kalbi jjim with cheese and mild spice. 

The portions are huge, and..."
Sun Nong Dan,4,"What a surprise!! The line is not as long as in the past. For those first timer, don't get confused. Just write down your name and how many people in your..."
Sun Nong Dan,4,"I've had this spot on my list to try for so long, and finally got the opportunity to! Coming from the bay area I've tried Daeho which is absolutely..."
Running Goose,5,"The food and service here is amazing, quaint out door dining with fire pit was very warm- thank you"
Running Goose,5,We had a great experience here. Due to unforeseen circumstance we had to find a restaurant at 8:00 pm on Saturday night for 10 people to dine. I called and...
Running Goose,3,I've been to Running Goose twice but the first time was almost 4 years ago and unfortunately I don't remember it much. But we came again more recently and...
Olivia,5,"Everything was delicious!! 
We got the ANDERSON PIZZA 10/10
CAVATELLI PASTA 10/10 
FRIED OLIVES 10/10
So so fresh and all the ingredients are not too heavy...."
Olivia,5,"One of the most delicious vegan/vegetarian places I've ate at in Los Angeles, hands down!!!! I am not a vegetarian or vegan and I enjoyed everything about..."
Olivia,5,"Came here right before heading to the Wiltern which is only 9 minutes away. 
Very cute decor, romantic ambience, and dope music. 
The staff was kind and it..."
LAON,5,"I had a wonderful pre-show dinner here with the hubby a few months ago!

We ordered the insalata with burrata, the squid ink tagliolini and steak & frites...."
LAON,3,"Decent spot but that's about it. 

I read alot of good reviews for this place but when I actually ate here it was mediocre... the prefix course was very..."
LAON,5,I returned again and the new food did not disappoint! Many people have mentioned the prixe fixe 5 course menu; I have learned from the waitress that this...
Mother Wolf,5,"Superrrr yummy food. My friend and I finally made it in after months of fake-planning to go and both were glad we went. Ambiance is amazing, we took pics..."
Mother Wolf,5,I am in love with this place. Ive been a few times and it just gets better with time. Came in last minute with 3 others on Saturday at 6pm. I was shocked we...
